CaseNumber,DateOfRequestReceived,Division-Branch,ApplicantCategory,Outcomes,ExemptionsApplied,DateOfResponseSent,DaysTakenToComplete,RequestWording
2092,2017-08-25,Science & Policy,Member of the Public,Rejected on cost grounds,S12,2017-09-14,13,"I am making a Freedom of Information request for full disclosure of the supermarket chain associated with recent press reports of pork products, and own brand sausages infected with HEV G3-2 strain of Hepatitis E.It appears the infected products are produced from pigs mainly reared in Germany Holland & France.Sources suggest Supermarket X may be the Tesco chain, who are neither denying or confirming responsibility for the importation of such infected produce.As a regular shopper of the supermarket chain in question I have a right to know; as do the general public, if we have unwittingly been consuming infected food produce.Apparently the source of this infection has been known since as far back as 2008. To date the food Standards Agency, and Public Health England. have failed to publicly reveal the identity of Supermarket X, thereby potentially putting the health of UK citizens at risk.I request your department release all detailed information held in regard to the Supermarket chain and complete transparency of all potential health hazards following consumption of the product."
2093,2017-08-31,HR,Media,Part withheld,Section 40,2017-09-28,20,"Under the FOI, please can you tell me how many Directors there are at the Food Standards Agency. How many of these are Black ?How many are Asian? Under the FOI, please can you tell me how many Senior Managers work at the Food Standards Agency?How many are Black ? How many are Asian? Under the FOI, please can you tell me how many Managers work at the Food Standards Agency? How many are Black ? How many are Asian? Finally, under the FOI, please can you send me the person specifications for all jobs at the Food Standards Agency in the last six months."
2094,2017-09-01,UKFSS,Media,Rejected on cost grounds,s12,2017-09-13,9,"I note that the FSA is responsible for food authenticity testing in the UK since 2013.https://www.food.gov.uk/sites/default/files/multimedia/pdfs/board/board-papers-2013/fsa-130605.pdfPlease provide the following information: 1) The number of authenticity tests conducted in years 2013 - to date. (Please provide overall number in Word format)2) The number that failed. (Please provide overall number in Word format)3) Where they failed please provide in date order: A) Name and type of product (including brand, and/or manufacturer)B) Where the tested product was taken from C) A brief description of why it failed D) A brief description of the remedy. (Please provide this information in excel format, in date order, with each point addressed in a separate column. )For example: Feb 2014: Own label Manuka honey. For sale in supermarket (Tesco) in Wales. Found not to be genuine Manuka. Withdrawn from sale. August 2015: Findus beef lasagne. For sale in supermarket (Tesco) in Liverpool. Found to contain horsemeat. Withdrawn from sale. "
2096,2017-09-05,Field Operations,Media,All provided,n/a,2017-10-03,20,"I am writing to make an open government request for all the information to which I am entitled under the freedom of information act.In order to assist you with this request, I am outlining my query as specifically as possible. If, however, this request is too wide or too unclear, I would be grateful if you could contact me as I understand that under the act, you are required to advise and assist requesters.I am wanting to receive data on Meat Hygiene Inspectors (MHIs) between Jan 2007 and the present day, in order to ascertain if there have been any changes in the average meat inspecting experience of those in the role, as well as how they are employed.I would like to know for each year:1/ the total number of MHIs employed by the Food Standards Agency in England and Wales.2/ the total number of MHIs employed by the FSA in England and Wales compared to the number employed via contractors.3/ The average number of years of meat inspecting experience possessed by the FSAinspectors during their careers, plus the average number of years experience possessed by contracted MHIs in the FSS during their careers, during each year from January 2007 until the present day.4/ The total number of meat facilities inspected by FSA, identified by those individual authorities, inspected by MHIs during each year.I understand that under the act, I should be entitled to a response within 20 working days. I would be grateful if you could confirm in writing that you have received this request. I look forward to hearing from you in the near future."
2097,2017-09-07,HR,Member of the Public,All provided,n/a,2017-10-05,20,"Under the Freedom of Information Act 2000, I am requesting the following information: What number of staff in your department are paid through umbrella companies? What number of staff in your department are hired through recruitment agencies? What number of staff in your department are on temporary contracts? Which recruitment agencies does your department use? What number of staff in your department are paid through the following companies: -   Parasol Ltd? Danbro Ltd? Giant? Which other companies are staff employed in your department paid through, and what is the number of staff per company?"
2098,2017-09-08,Ops Assurance,Member of the Public,All provided,n/a,2017-10-06,20,"Dear sir/madam In relation to page 4 of your recently published poultry welfare data project focussed on haulage welfare issues- see https://www.food.gov.uk/sites/default/files/fsa170905c.pdf I request the following information under FOI please 1, The number of transport/hualage poultry welfare non-compliances* recorded using the new Chronos reporting system for each month since the system came on-stream until the present date, to include a total number of non-compliances *To include birds trapped between crate and module, overstocking, dead on arrival, other non compliances 2, If possible, this information broken down by haulier company, using an anonymised system / code (not identifying the company) Thanks in advance "
2099,2017-09-08,Ops Assurance,Member of the Public,All provided,n/a,2017-10-06,20,"Using Freedom if Information Act 200 I request the information below 1, The number of TB reactor cattle* found dead on arrival (DOA) or dead in lairage (DIL) by FSA OV's or other abattoir staff, and/or reported to APHA, at English and Welsh ""reactor"" abattoirs** each month between September 2016 and the present day  *By reactor cattle I mean reactors (R), inconclusive reactors (IR) and direct contacts (DCs), compulsorily or voluntarily slaughtered ** Abattoirs specifically licensed by APHA/DEFRA to process TB cattle - there's (I understand) six or eight such plants  2, If possible (and the data is available / time permits), these figures to be presented by abattoir concerned. The details of each abattoir could be anonymised, using what the ICO calls deterministic modification. In other words each slaughterhouse could be given a code eg A1 and by using a simple control and replace function all instances of DOA or DIL appearing in the data could be assigned to particular - anonymised - abattoirs."
2100,2017-09-13,UKFSS,Media,Rejected on cost grounds,n/a,2017-10-04,15,"Please provide the following information: 1) The number of authenticity tests conducted from August 2016-August 2017. (Please provide overall number in Word format)2) The number that failed. (Please provide overall number in Word format)3) Where they failed please provide in date order: A) Name and type of product (including brand, and/or manufacturer)B) Where the tested product was taken from C) A brief description of why it failed D) A brief description of the remedy. (Please provide this information in excel format, in date order, with each point addressed in a separate column. )For example: Feb 2014: Own label Manuka honey. For sale in supermarket (Tesco) in Wales. Found not to be genuine Manuka. Withdrawn from sale. August 2015: Findus beef lasagne. For sale in supermarket (Tesco) in Liverpool. Found to contain horsemeat. Withdrawn from sale."
2112,2017-09-14,UKFSS,Industry,All provided,,2017-10-11,19,"I notice in your National Coordinated Sampling Programme for 2016-2017, you identify ?fish substitution? as a priority sampling plan for local authorities. I was wondering what the take up has been for this work as I realise it is not an area the FSA have offered funding for, and when any results may be made available?I often work with enquiries relating to commercial fish name designations and are frequently asked about the mis-labelling of fish. I feel the availability of this data would be particularly useful to us especially as there appears to be a demand from industry, for such data."
2101,2017-09-18,Operations,Media,Part withheld,"S30, 43",2017-10-16,20,"Please could you send me the reports for audits at S J Norman & Sons abattoir in Dorset since 2014.Please include the number of non-compliances - minor, major and critical - recorded by FSA auditors during full audit along with details where the non-compliances were found.Could you also provide me with details of whether the abattoir has been issued with cautions, enforcement notices, been investigated or prosecuted since 2010"
2102,2017-09-19,HR People Services,What do they know,All provided,N/A,2017-10-06,14,"I have questions regarding the following job advert Senior EU Policy Adviser Job ref 1553752 How many people were interviewed?How many people interviewed were FSA internal staff? How many people interviewed were current civil service staff? How many people interviewed were from the private sector?What was the status of the person who was successful? Internal staff, Civil service or private sector?"
2105,2017-09-19,Openness Team,Business,All provided,n/a,2017-09-26,5,"Please provide the following information.(1) With regards to your internal processes for responding to Freedom of Information (FOI) requests, do you use any software solutions to manage the process or is it still predominantly a manual exercise?(1a) If a software solution is used, please could you advise on the system used and supplier?(2) On average, how many FOI requests do you receive on a monthly basis?(3) What is your current average response time when handling FOI requests?(4) Please may I be provided with the full contact details (inclusive of telephone no. & email) of the individual within your team who is responsible for the management and performance of your FOI handling process?Please provide any information in electronic format."
2106,2017-09-19,Information Management,Business,All provided,n/a,2017-10-16,19,"Individuals have a right, commonly referred to as a subject access request (SAR), created by section 7 of the Data Protection Act. I am writing to you under the Freedom of Information Act 2000 to request the following information regarding your processing of subject access requests:1. How many subject access requests did you receive the identifying paperwork for and process in 2014?2. How many subject access requests did you receive the identifying paperwork for and process in 2015?3. How many subject access requests did you receive the identifying paperwork for and process in 2016?4. How many subject access requests you rejected in 2014?5. How many subject access requests you rejected in 2015?6. How many subject access requests you rejected in 2016?7. What was the average cost for you to process a subject access request in 2014?8. What was the average cost for you to process a subject access request in 2015?9. What was the average cost for you to process a subject access request in 2016?10. How much do you charge an individual to process a subject access request?"
2103,2017-09-20,Ops Assurance,Member of the Public,Rejected on cost grounds,S12,2017-10-04,11,"Dear Sir / Madam Under FOI laws I request the following please: 1, The monthly number of Welfare Enforcement Notices issued by FSA staff at abattoirs in England & Wales for each month between September 2015 and the present day2, To include details of the non-compliance involved (both area of non-compliance and description of specific incident itself), its rating, e.g. major or critical non-compliance, and the livestock type involved eg, poultry, pigs, cattle, sheepNote: abattoir names/details can be withheld Note 2: If carrying out the above is judged to exceed the time permitted under FOI regs, please reduce to a single year, eg September 2016 to presentMany thanks.  "
2104,2017-09-20,Ops Assurance,Member of the Public,All withheld,"S22, 30, 31",2017-10-18,20,"Under the FOI act 2000 I would like to request: 1, The monthly number of major & critical welfare non-compliances recorded in English / Welsh slaughterhouses reported to the FSA Chief executive Officer and Chief operating Officer between July 2016 and the current month2, Information on the non compliances involved - description of breach, type and number of animals involved, enforcement action taken, other relevant information supplied  If able, please supply this info in the original reports sent on a monthly basis to the above people - with details identifying abattoirs or individuals redacted, as per usual FSA practice "
2107,2017-09-20,Ops Assurance,Member of the Public,All withheld,"s30, s43",2017-10-17,19,"This is a request under the Freedom of Information Act 2000.Please provide copies of all non-exempt FSA intervention records relating to audits of approved meat establishments since the introduction of the current audit system in August 2014. Please provide the files as-is in the format given in the following example document: https://www.food.gov.uk/sites/default/files/1c-example-intervention-log.xlsPlease also provide the final audit report relating to each audit, in its original format.If providing all the files would exceed the limit of the time/cost exemption, please restrict this request to slaughterhouses (establishments with the 'SH' activity designation). If further restriction is required due to the time/cost exemption, please prioritise the most recent intervention records for slaughterhouses with the following Approval Numbers:21382430245025692653266040154030412841824379445144964540456246494770477148004847500855166207Many thanks,[An individual]"
2108,2017-09-20,Operations / Regulatory and Legal Strategy Directorate,Member of the Public,All withheld,S22,2017-10-18,20,"Dear Sir/Madam,I'm writing to make a Freedom of Information Request.A) For each year since 2012 to 2016, can you please give the number of slaughterer licences: I) Issued II) SuspendedIII) RevokedB) For each licence suspended or revoked between 2012 - 2016, can you please give the reasons for such such suspension/revocation?C) Can you please give the details of all instances in which suspension or revocation was followed by the FSA referring cases to external bodies such as the CPS for prosecution?Your assistance would be most appreciated.Kind regards,[an individual] "
2109,2017-09-21,Regulatory and Legal Strategy Directorate,Industry,Part withheld,"S40, S44",2017-10-11,13,"To whom it may concern,Following the publication of the article: https://meatmanagement.com/fsa-responds-to-media-reports-over-practices-in-slaughterhouses/and specifically the quote, ?Since the start of 2016, FSA investigations into alleged offences at approved meat plants have resulted in 20 convictions?, I was wondering if it would be possible to share with us the detail of these 20 convictions? Red Tractor Assurance operates a Meat Processing Scheme and we would be very interested in this information in order to see whether any of our members have been affected.I look forward to hearing from you."
2110,2017-09-21,Policy ,Media,Part withheld,s35,2017-11-15,19,My request is as follows:* Please provide copies of the minutes of all meetings in 2017 where the idea to alter the FSA?s reporting of chickens contaminated with campylobacter was discussed;* Please provide copies of all briefing/background papers in 2017 on this issue.I look forward to receiving the information within the statutory time limit.Please send the information to: [an individual]
2111,2017-09-21,Contaminants,Media,Part withheld,s22,2017-10-13,15,"Project code: FS241030Results for this study, which seemed to end in March 2014, have not been forthcoming. Please can you provide copies of communications regarding these results, and the reasons for the non-publication. Has any information been released? Has the study finished; if not, what is the present state-of-play? Thank you"
2113,2017-10-02,,What do they know,Not held,n/a,2017-10-30,20,Can I request and obtain the kill dates of meat products advertised as 30 Day dry aged steaks.
2114,2017-10-02,Regulatory Delivery Division,Member of the Public,Advice and Assistance provided,n/a,2017-10-06,4,"After searching and failing to find any up to date data on food integrity on the FSA website, I've chosen to write to you.Requesting that I may have or be shown the way to the most recent reviews/articles or papers shared with you, or conducted by/with you which include: 'Chemical and material purity of comercially available food for individual consumers' or words to that effect. I'm most interested in meat, spices, and fish. and the contents of these.like the one from Chris Elliot (Queen's Belfastand) & Which, allegedly shared with youconcerning the purity of supermarket spices... ""We are sharing the results from this study with the Food Standards Agency.""This particular one I have been unable to find online, only news articles about it."
2115,2017-10-03,,Pressure Group,Not held,n/a,2017-10-30,19,"Re Pony MeatUnder the FOI Act, I wish to request copies of all communications dated the year?2014 - 2017?which contain the following - Please provide me with the names of the abattoirs that are currently approved for the slaughter for human consumption of horses in Devon, Somerset and Cornwall. How many ponies have been slaughtered for human consumption from a derogated area on Dartmoor. What is the named slaughter house for the Dartmoor Conservation Meat Business. How many equines from a derogated area have been refused from the food chain and for what reason."
2116,2017-10-03,,Member of the Public,Rejected on cost grounds,s12,2017-10-25,16,"Please will you provide me with all information you hold in relation to the following:1. Policies, procedures, guidance notes, desk instructions, etc. relating to the retention periods of and removal of documents from the personnel files (whether paper or electronic) of FSA and Meat Hygiene Service Staff, including former employees covering the period 1 January 2000 to the present day. Please include copies of all such documents.2. Records of all periodic cleansing of personnel files of FSA and Meat Hygiene Service staff, including former employees and including any audits, independent assurance reviews thereof covering the period 1 January 2000 to the present day. Please include copies of all records.3. Copies of any inspection reports or similar of reviews of compliance with the Data Protection Act by the FSA and Meat Hygiene Service.4. Copies of all internal communications to FSA and MHS employees relating to appointments to the FSA Board during 2017."
2117,2017-10-04,UKFSS,Media,All provided,n/a,2017-11-29,20,"Please provide the following information:1) The number of authenticity tests conducted in years August 2016 - to date that mentioned the following: Coconut water/juice/milk; Orange juice; horse meat 2) For each please specify the number that failed. 3) Where they failed please provide in date order:A) Name and type of product (including brand, and/or manufacturer) B) Where the tested product was taken from C) A brief description of why it failed D) A brief description of the remedy."
2119,2017-10-09,Ops Assurance,Other,All withheld,S22,2017-11-06,20,"as per your suggestion, please provide the information for the period March 2017 to September 2017: 1, The monthly number of Welfare Enforcement Notices issued by FSA staff at abattoirs in England & Wales for each month between March 2017 and the present day2, To include details of the non-compliance involved (both area of non-compliance and description of specific incident itself), its rating, e.g. major or critical non-compliance, and the livestock type involved eg, poultry, pigs, cattle, sheepNote: abattoir names/details can be withheld"
2122,2017-10-10,Comms,Media,All provided,n/a,2017-10-17,5,"I am a blogger and I have written about the FSA's work many time. I think that makes me a journalist - see here https:[website] And I will be publishing your response to this email, or lack of response.How many times have the following 4 pages on your website been accessed since 12 July 2016 (or any similar date if easier to collate):Irradiated food https://www.food.gov.uk/science/irradfoodqaAdvice to frequent eaters of game shot with lead https://www.food.gov.uk/science/advice-to-frequent-eaters-of-game-shot-with-leadArsenic in rice https://www.food.gov.uk/science/arsenic-in-riceAcrylamide https://www.food.gov.uk/science/acrylamide-0"
2118,2017-10-11,Ops Assurance,Media,All provided,n/a,2017-11-08,20,"My name is [an individual] and I write for [a newspaper]. We are preparing our coverage on kosher slaughter (shechita) following the recent closure of a consultation on mandatory CCTV coverage of slaughterhouses in the UK, as this issue is of interest to Jewish readers who keep kosher. My FoI request is therefore as follows:In your response of 26.07.17 to someone else's Freedom of Information request around stun/non-stun slaughter, you say: ?I can confirm that at the time your request was received, the FSA had completed a survey of slaughterhouses carrying out slaughter without prior stunning and a list of all plants carrying out non-stun slaughter (not just for halal meat) was drawn up for this purpose. The FSA therefore currently holds information on non-stun premises.?With that in mind, I would be grateful if you could confirm the following:1. How many plants carry out non-stun slaughter in the UK? Of these, how many are a) red meat slaughterhouses b) white meat slaughterhouses?2. How many plants carrying out non-stun slaughter have told the FSA that they do so in accordance with Jewish religious custom (i.e. as kosher abattoirs)? Of these, how many are a) red meat slaughterhouses b) white meat slaughterhouses?3. Of the above, and with regard to the results of the 2016 CCTV survey of slaughterhouses in England and Wales (see link below) how many a) red meat slaughterhouses and b) white meat slaughterhouses have some form of CCTV in use?https://www.food.gov.uk/sites/default/files/cctv-survey-results-2016.pdf4. Of those that do:(i) How many have installed CCTV to cover a) unloading b) lairage c) race and restraint d) bleed area e) any other areas (ii) How many retain the CCTV footage, and for how long?(iii) How many are willing to share their footage with the FSA?If my request falls foul of any Exemptions but would, with a little tinkering, skate within the bounds of acceptability, I'd be all ears and ever amenable."
2120,2017-10-11,UKFSS,Member of the Public,Vexatious,,2017-10-17,5,"Can you please provide the following information drawn from the UKFSS database:A) A data dictionaryB) For 2014/2015, 2015/2016 and 2016/2017:i) Details of all meat and meat products, game and poultry that were subject to sampling analysis.Please include at the minimum:- The month and year of the test- The name of the product- The manufacturer- The type of meat- The type of test- Findings of the test- Any enforcement action- Any post-enforcement follow up action and its findingsii) Details of all meat and meat products, game and poultry that were subject to a visual food labeling check.Please include at the minimum:- The month and year of the test- The name of the product- The manufacturer- The type of meat- The type of test- Findings of the test- Any enforcement action- Any post-enforcement follow up action and its findingsI would like all this data in electronic spreadsheet format."
2127,2017-10-11,UKFSS,Industry,Part withheld,s43,2017-11-07,19,"I was wondering if you might have a little more information on the 476 samples submitted?What kind of fisheries products were they? Pre-packed or loose, farmed or caught, imported or domestic products?How were these products selected for sampling? Were all samples proposed to be of the same species?Is the sample data currently available elsewhere and if so, do Local Authorities have access to it? Do you have any further information on why a result came back ?unsatisfactory? (i.e. which species it was substituted with)?Was the business informed of the sample being taken and of the results? Were they allowed the opportunity to comment on the result?I have looked again at the sampling plan and note that unprocessed Cod and Haddock and processed fish products (fish fingers, fish cakes, fish paste/pate, breaded/battered fillets, ready meals and dried fish) were targeted. Although this answers some of my earlier questions, I would be keen to learn more on the final composition of the 476 samples and 33 ?unsatisfactory?s"
2121,2017-10-12,Private Office,Academia,Part withheld,s40,2017-11-08,19,"This request asks for 1.  The date, time and location of a meeting between the FSA board chair, Heather Hancock, George Eustice MP, minister at the Department for Environment, Food and Rural Affairs and Lord Gardiner, Parliamentary Under-Secretary of State. The meeting of interest occurred during the period November 2016 to 15th March 2017 and concerned the National Food Crime Unit; animal welfare and CCTV use in abattoirs; and the FSA?s contribution to exiting the EU. The meeting is recorded within the chair?s report to the FSA board on the 15th of March 2017 at point 7 of the board meetings published minutes but without detail.2.  Copies of notes or minutes made of that meeting concerning the discussion point of ?progress on the National Food Crime Unit?."
2123,2017-10-16,NI & Org Development,What do they know,All provided,None,2017-10-24,6,"How many applications were received for the role of Senior EU Policy Adviser, Q1. How many applications from internal staff at the FSA? Q2. How many applications from civil servants? Q3. How many from the private sector.Q4. How many applications overall did you receive?"
2129,2017-10-18,Ops Assurance,Business,Part withheld,"s38, 40, 43",2017-11-15,20,"please have the last 200 of [an FSA employee's] email / conversations (with Defra on the subject of V-Restrainers), failing that please let me have the cost for you to provide 1300 email the last of the 200 e-mail ending on 25 august 2017,."
2124,2017-10-20,Ops Assurance,Pressure Group,All provided,n/a,2017-11-17,20,"1.  In (i) 2015 and (ii) 2016, how many solipeds were slaughtered in licensed slaughterhouses in England? 2.  In (i) 2015 and (ii) 2016, how many solipeds were slaughtered in establishments other than licensed slaughterhouses in England? 3.  In (i) 2015 and (ii) 2016, how many equidae who were registered with Weatherbys' Passports (British and Irish) were slaughtered in licensed slaughterhouses in England? 4.  In (i) 2015 and (ii) 2016, how many equidae aged two years or less, registered with Weatherbys' Passports, were slaughtered in licensed slaughterhouses in England? 5.  In (i) 2015 and (ii) 2016, how many equidae had their passports returned as 'deceased' to the Weatherbys Passport Issuing Offices in the UK?"
2125,2017-10-20,HR,Member of the Public,All provided,n/a,2017-11-09,14,"I am trying to get an understanding of salary premiums paid to staff working in London, such as ?London weighting? or ?London allowance?. For ease, I will refer to ?London weighting? in the rest of this email, but I am interested in any such contractual scheme or schemes, regardless of the name. I am curious as to the following: 1. Do you pay any London weighting to some staff? 2. Do you have any other form of geographical weighting in staff salaries for places other than London? 3. How is such London weighting calculated, is it a fixed sum for each employee, (perhaps prorated for part time employees), or an additional percentage on top of their salary, or something else? 4. What is your annual expenditure on London weighting, and what percentage of your pay bill is this? If this cannot be calculated accurately, please provide an estimate. 5. Can you break your expenditure on London weighting down by the salary band of the employee receiving it? For example, how much London weighting is received by employees earning over ?50k per year (pro rata)? Under ?20k per year (pro rata)?"
2126,2017-10-23,Legal,Another Public Authority,Part withheld,s40,2017-11-20,20,"Information request;1, I am told that the FLPO project board may revisit the matter of the registering of simple cautions on the FDSA database following their decision not to register simple cautions on the FSA database. Hence I would be grateful if you can supply me any information you may hold about how the FSA came to its decision to not register simple cautions on their database such as any report, agenda, minute that may have been produced in relation not registering simple cautions2. I have requested information as to who currently are the members which make up the FLPO project board so that I can look to provide my views on the registering of simple cautions with a request that the project board revisiting their policy decision. I would therefore request to be supplied with the names of the officers who currently make up the FLOP project board. Or in the alternative if individual FSA officers names are not to be supplied then I would request that a specific contact such as the secretary for the project board details are provided"
2128,2017-10-25,EU Exit,Member of the Public,All withheld,"s27, s29, s35",2017-11-22,20,"Under the Freedom of Information Act, I request all information held by you relating to the impact of Brexit on:1.  the UK food supply;2.  Food prices;3.  Food standards; in light of potential future trade deals;4.  Produce and goods currently protected by food name schemes: namely Protected Designation of Origin, Protected Geographical Indication and Traditional Speciality Guaranteed.By held ?information?, I am referring to any estimates, briefings, reports, research documents which are held by your body. "
2130,2017-10-31,HR,Member of the Public,All provided,n/a,2017-11-28,20,"1. Policies, procedures, guidance notes, desk instructions, etc. relating to the retention periods of and removal of documents from the personnel files (whether paper or electronic) of FSA and Meat Hygiene Service Staff, including former employees covering the period 1 January 2000 to the present day. Please include copies of all such documents.2. Copies of any inspection reports or similar of reviews of compliance with the Data Protection Act by the FSA and Meat Hygiene Service."
2131,2017-11-04,Regulatory Delivery Division,Member of the Public,All provided,n/a,2017-12-04,20,"I've been trying to download FSA audits of local authorities 2000 - 2006 but they don't appear to be accessible from your own website. Please can you send me or tell me how to access FSA audits during this timeframe, for, specifically, Lewisham, Rochdale, Dover and Lewisham. I'm also researching the 'step change' programme during this period, so under FOI legal requirements please tell me what Brexit plans your'e making given that you don't know what you are planning for. "
2132,2017-11-10,Ops Assurance,Member of the Public,Part withheld,"S30,S38,S40",2017-12-08,20,"Earlier this year I submitted a request for animal welfare non-compliances at slaughterhouses. Could you kindly replicate that request for 2012/2013, 2013/2014 and 2016/2017 with the additional request that you list the country in which the breach occurred?"
2133,2017-11-13,Novel Foods,Business,All provided,n/a,2017-12-04,15,Food Standards Agency wrote to [a business] on 10 August 2016 about selling and/or marketing of Products containing Beta hydroxybutyrate (the products are listed in the letter). We attach a copy of this letter. We subsequently wrote to you on 18 September 2017 informing you of the names of other individuals and businesses selling and/or marketing the aforementioned compounds in England and Wales. We would like to request under the Freedom of Information Act how many of the same enforcement letters/emails have been sent to business and individuals since 1 January 2016 in relation to the aforementioned compounds. We would also like to request how many of these businesses and individuals have now stopped selling and/or marketing as a result of your communication with them.
2135,2017-11-14,Marketing & Projects/Comms,Business,All provided,n/a,2017-12-12,20,"Does your department currently use a private company to undertake any of the following services: Public Relations, Social Media Communications, External Stakeholder Communications, Internal Stakeholder Communications. If yes, can you please confirm: When the current contract was last let, When the current contract expires, Whether the current contract has options to extend its length, When you expect to retender the contract. If no (to question 1 above), are you considering letting such a contract in the future and if so, do you have an approximate timetable for engaging the market? Have you used a private company to help you with any other marketing or public information campaigns in the past 2 years? If so, could you please provide a brief overview of what those campaigns were about and approximately how long your contract with the company was for to support the campaign(s)?"
2134,2017-11-15,Finance,Pressure Group,All provided,n/a,2017-12-06,15,"I was hoping you could help me with an enquiry. I?m keen to get a like for like comparison on the FSA budget for the last five years. I found the FSA priorities and budget doc for 2016/17 in which it states that the FSA has agreed a Westminster resource budget for each year of the forthcoming spending review period of ?82m, a real terms reduction of 7% over the period. (https://www.food.gov.uk/sites/default/files/fsa160311.pdf)I understand from the FSA Budget and Priorities doc for 2015/16 that the agency ?agreed a spending review settlement for 2015/16, which reduced the FSA Westminster Programme budget by ?10m from 2014/15? but I couldn?t find a total figure. (But presumably ?10m more than the ?82m mentioned above, so ?92m?) Would it be possible to get a comparative figure for the last five years for what central Government has allocated to the FSA as a budget please? So a comparative figure from 2011/12 onwards that would relate to the ?82m mentioned above. "
2136,2017-11-16,Ops Assurance,Member of the Public,All provided,n/a,2017-12-14,20,"Please supply me with the following information, for each calendar year, commencing 2010, up to and including this year if possible:i)  Total number of slaughterhouses, registered with the FSA, operating in the UK (during any part of the calendar year)ii) Total number of slaughterhouses producing Halal certified meat, either in part or full (during any part of the calendar year)iii) Total number of slaughterhouses which were formerly not producing Halal meat, prior to the year in question, but began to do so in that yeariv) Total number of new slaughterhouses which opened during the calendar year in questionv) Total number of new slaughterhouses which opened during the calendar year in question, producing Halal certified meat, either in part or in full vi) Total number of slaughterhouse inspections carried out by the FSA, or on the FSA's behalf, during the calendar year in question vii Total number of slaughterhouse inspections carried out by the FSA, or on the FSA's behalf, where slaughterhouse visited is/was producing Halal certified meat, either in part or full, during the calendar year in question"
2137,2017-11-20,Ops Assurance,Industry,Part withheld,s35,2018-01-02,20,"1. Please provide copy of any legal advice received in relation to the case in the High Court being AIMS-v-DEFRA [2017] EWHC 1961 (Admin).2. Please provide copies of the minutes of the meeting held prior to the release of TEC Files Welfare Special Edition 20 October 2017 and any legal advice in this respect;3. Please provide any legal advice, public consultation or rationale in respect of the policy change to control transportation of warm red meat pursuant to EU Regulation (2017/1981)."
2138,2017-11-23,Openness Team,Member of the Public,Part withheld,S40,2017-12-18,17,"I write to request details of any correspondence regarding ""chlorinated chicken"" or ""chlorine washed chicken"" with the Department for Exiting the European Union. I write to request details of any correspondence regarding ""chlorinated chicken"" or ""chlorine washed chicken"" with the Department for International Trade. "
2139,2017-11-23,Operations Group ? Business Development Unit,Member of the Public,All provided,n/a,2017-12-21,20,"Using FOI laws I request the following information relating to inspection of meat products at English and Welsh (possibly NI) abattoirs I believe is held by the FSA: 1, A list of all conditions which automatically result in entire carcasses being declared unfit for human consumption at abattoirs (eg dead on arrival, dead in lairage, Ascites / Oedema, hepatitus etc) Please list such conditions for pigs, cattle, sheep/goats poultry 2, A list of conditions which automatically result in affected areas of carcasses are declared unfit for human consumption at abattoirs (with the remainder of the carcass being health marked subject to relevant checks etc) (eg feacal contamination, joint lesions, bruising etc) Please list such conditions for pigs, cattle, sheep/goats poultry Please supply this information for England and Wales (and NI if applicable) - I believe the Scottish FSA deals differently with some conditions. "
2142,2017-11-24,FSA IT ,Member of the Public,Part withheld,S31,2017-12-20,18,I am looking for information about internet webpages accessed by staff. Please could you provide me with the following: A list of the 500 most accessed websites ? in terms of pages views (or however you record this) ? on computers over the past 12 months (December 2016 to December 2017) Please could you provide the URL of the website and number of times it has been accessed by computers on the network.
2140,2017-11-29,Ops Assurance,What do they know,Rejected on cost grounds,s12,2018-01-19,17,"Many abattoirs state they do not conduct un-stunned slaughter at all so this should narrow down the information from yourselves.FSA reports specific to Abattoirs/Slaughterhouses that conduct un-stunned slaughter (no pre-kill or partial stunning prior to sticking) of Animals inc Bovine, Ovine, Game, Poultry in the UK. The specific areas in those reports to be covered are to be related to Meat/Poultry Traceability concerns post-slaughter, Animal Welfare issues pre-slaughter / during slaughter and concerns about actual the Slaughter process / methods being conducted at those Abattoirs/Slaughterhouses at the time of the FSA Inspection and where FSA remedial action was required. Also I would like if possible to be identified is how many FSA inspections actually used CCTV as a method of review either during or post-inspection and how many reviews actually led to the discovery of FSA breaches and subsequent FSA action that were raised in FSA reports or were used as evidence for any prosecutions.Also required are details of followup actions/inspections conducted by FSA Inspectors that were actioned as a consequence of original Inspection reports and whether these Abattoirs / Slaughterhouses had fully complied with the FSA recommendations."
2143,2017-11-30,EU Exit,Media,Part withheld,s35,2018-01-02,20,"Please could you provide me with the following information:I would like to know the total cost of how much the Food Standards Agency has spent on Brexit preparations (a) since June 23rd 2016, and (b) intends to spend between now and March 29th 2019, including a breakdown of the following:-   The cost of consultants to work on Brexit preparations-   The number and cost of any additional staff to work on Brexit-   The cost of any capital expenditure associated with Brexit"
2144,2017-12-01,HR,Media,All provided,N/A,2017-12-21,14,"I am writing to you under the Freedom of Information Act 2000 to request the following information: 1. How many employees or contractors, including those contracted by third party agencies, are currently on zero-hours contracts with the department and its agencies, if any? 2. How many employees are there with department in total, on any type of contract? 3. How many employees with the department were on zero-hour contracts in the last five years, if any? 4. Could I have a breakdown of the roles that the department?s zero-hour contracts apply to? "
