"CaseNumber","DateOfRequestReceived","Division-Branch","ApplicantCategory","Outcomes","ExemptionsApplied","DateOfResponseSent","DaysTakenToComplete","RequestWording"
"1920","2016-08-16","Operations Assurance","Member of the Public","Part withheld","s22, s38","2016-08-26","20","1. Please can you forward me a copy of your regulations regarding halal slaughtered meat and details of the numbers of abattoirs now allowed to kill animals in this way.2. I would also like to know the percentage of animals having to be slaughtered this way in the UK over the last 5 years compared to the previous 5 years.3. I also need to know the percentage of abbatoirs that have CCTV installed in the UK."
"1921","2016-08-18","Finance / Openness Team","Member of the Public","Not held","n/a","2016-08-19","1","1. How much money has been paid to the PRS for Music Limited by the department over the past three calendar years (up to an including August 2016)? Please could you break this information down year-by-year. In each case where money has been paid, please could you provide details explaining why the money was paid/what the purpose of purchasing the rights to play the music was. 2. How much money has been paid to the PPL (formerly known as PhonographicPerformance Limited) by the department over the past three calendar years (up to an including August 2016)? Please could you break this information down year-by-year. In each case where money has been paid, please could you provide details explaining why the money was paid/what the purpose of purchasing the rights to play the music was. "
"1922","2016-08-18","Operations Assurance","Member of the Public","Part withheld","s22, s38","2016-09-14","18","1. For the most recent 60 months on record please break down by calendar year and - if held - type of animal:a. The number of animals killed without being stunnedb. The number of animals killed after being stunned2. For the most recent calendar year available, please break down by abattoir or slaughterhouse, the number of animals killed without being stunnedI would prefer to receive this information electronically, preferably as a data set, eg. as a .CSV or .XLS file, NOT as a PDF."
"1923","2016-08-25","Legal","Member of Parliament","All provided","n/a","2016-09-23","20","I am writing to request information on what central arrangements have been or are being established to coordinate work within your department arising from the United Kingdom's vote to leave the European Union, including - but not limited to - assessing the impact on your department's area of responsibilities, analysing the related implications and policy options, coordinating advice to ministers, and contributing to any cross-government work on Brexit. In particular, I would like to request the following information: (i) the total number of staff that have already been deployed - or are in the process of being recruited - to work on these activities, including in any central Brexit units; (ii) when that exercise of deployment or recruitment began;(iii) the grades (or equivalent) of the members of staff that have been deployed or that you are in the process of recruiting; (iv) the size of the annual budget, including staff costs, set aside for any central Brexit units in your department coordinating work in these areas; and(v) if available, a description of the function and objectives of those units.Finally, please provide any additional information which you feel would be material to understanding how your department is responding to the United Kingdom's vote to leave the European Union. "
"1924","2016-08-30","Field Operations","Pressure Group","Part withheld","s31, s40, s43","2016-11-22","60","I would like to request copies of the FSA staff's daybooks PLUS the vets' Official Notebooks for two approved slaughterhouses:Creedy Carver (8013) for the months of February 2016 and July 2016and Alec Jarrett (8119) for the months of April 2016 and July 2016"
"1925","2016-09-05","FHRS","Business","All provided","n/a","2016-10-10","20","I am writing to request data held by the Food Standards Agency on historic data relating to the Food Hygiene ratings scheme in Northern Ireland.In particular I wish to receive the first full set of data published under the scheme in 2011.I would like to receive the following information in Excel format under the following headings:Business name; Street, town or postcode; Business type; Hygiene rating.In relation to the historic scores of businesses, I do not intend to publish this, but wish to evaluate trends in overall scores since the introduction of the scheme.I would like to notify you of my intention to reuse this data for journalistic purposes. New guidance issued last year by the Information Commissioner's Office advised that we state our intention to reuse datasets when requesting them.We may create interactive maps and will also make the data available to the public accessing our stories."
"1926","2016-09-08","Procurement (Sustainability)","Member of the Public","Part withheld","s43","2016-09-28","14","1. What was the latest price paid per ream (500 sheets) of standard white copier paper (80 gsm or equivalent)? 2. If the answer to question 1. is not representative of a usual price paid, what is the average price paid per ream of copier paper during financial year 2015/16? 3. How many reams of copy paper were purchased during the 2015/16 financial year? "
"1927","2016-09-12","Foodbourne disease","Media","Not held","n/a","2016-09-20","6","Under the freedom of information act, I would like to request access to the report - or any data - on trials concerning the 'thinning' of broiler chickens and the impact on campylobacter.In particular, the trial undertaken by 2 Sisters Food Group in conjunction with Marks & Spencer. Both said the results would be shared with the FSA. "
"1928","2016-09-16","Operations Assurance","Academia","All provided","n/a","2016-10-13","20","How many cattle are being culled each year due to A) Mastitisd and B) Lameness"
"1929","2016-09-19","Hygiene Ratings","Academia","Not held","n/a","2016-10-05","12","I require a detailed and comprehensive list of all chicken shops (in excel format) within London. I am of the understanding that there are somewhere in the region of 5,000 to 8,000 chicken shops around London but using your website I was only able to find 500 or so, and they are in the .xml file format, which is impossible to properly work with. If it is not possible to provide a more exhaustive list of all fried chicken businesses (or to guide me to a resource which might be able to), then I respectfully request an excel file of the 500 shops (which is already public information). "
"1930","2016-09-21","Private Office","Member of the Public","Part withheld","s40","2016-10-19","20","I wish to submit a new freedom of information request relating to the organisation's internal departmental plans and strategies around the following departments:1. Corporate Finance 2016-2017a. Annual Report 2015-16 (May not be available as yet but should be towards the end of June)b. Financial Strategy 2016 Update/Versionc. Corporate Business Plan 2016 Update/Versiond. Budget Book/Strategy 2016 Update/Version 2. Information Technology 2016-2017a. ICT Strategy 2016 Update/Versionb. ICT Business/Departmental Plan 2016 Update/Versionc. ICT Organogram 3. Estates and Facilities Management 2016-2017a. Estates and Facilities Management Strategy 2016 Update/Versionb. Estates and Facilities Business/Departmental Plan 2016 Update/Versionc. Estates and Facilities Management Organogram 4. Waste and Environmental Services 2016-2017a. Waste Management Strategy 2016 Update/Versionb. Waste and Environmental Services Business/Departmental Plan 2016 Update/Versionc. Waste and Environmental Services Organogram ? For the documents I have requested above I require the most recent document covering 2016-2017 version/update. If there're documents that have not yet been published, then please provide me with the relevant month of when these documents will be available.Please do not send us documents that are out of date even if the document state 2012-2016, I require the up to date 2016-2017 version. This is the most critical part of this project, is that we gain the most recent version of the documents for the whole of public sector to view.Please can you provide all documents in PDF format. Also please do not send scanned documents as this will not be able to be searched across by people from the public sector."
"1931","2016-09-22","SLA & Contracts","Business","All provided","n/a","2016-10-05","9","In each of the past 3 years, how may pigs have been tested for trichinella and of those how many were found to be positive? I am looking for a total number of tests and total number of positives for each year if that is possible."
"1932","2016-09-22","Openness Team","What do they know","Not held","n/a","2016-10-10","12","Therefore I am asking for all tests conducted in the last 12 months on British supermarkets, restaurants & schools where meat was found to be halal and not labelled. I have seen that tests are conducted the other way round to certify halal but I want all non halal meat certifying to ensure we are not eating it. Please provide all planned halal tests on meat for the forthcoming 12 months and all results for the last 12 months. I would like a list of all major uk supermarkets & restaurants that sell halal meat & the regulations that control its sale & consumption to ensure public awareness and choice. I would finally like confirmation that legislation is in place to ensure non halal meat is exactly that & how this regulation is assessed. Any independent assurance reports would be very useful."
"1933","2016-09-27","openness team","Member of the Public","All provided","n/a","2016-09-30","3","Please provide me with the numbers of Food Standards Agency permanent staff of each grade from Administrative Assistant (AA) to Senior Civil Service Pay Band 4 (SCS PB4) or equivalence, as at 01 April 2012 and as at 01 April 2016."
"1934","2016-09-27","Consumer Protection","Media","Rejected on cost grounds","s12","2016-10-17","14","*Copies of all correspondence (including emails) sent to or from Geoff Ogle (as the FSA's senior investigating officer on horsemeat) in relation to the investigation into the slaughterhouse run by Peter Biddy in Todmorden, West Yorkshire as a result of the horsemeat scandal. *Copies of all correspondence (including emails) sent to or from Geoff Ogle (as the FSA's senior investigating officer on horsemeat) in relation to the investigation into Farmbox Meats Ltd in Wales as a result of the horsemeat scandal."
"1935","2016-10-03","Prosecutions","Member of the Public","Not held","n/a","2016-10-24","15","I would like to inquire whether there has been any successful prosecutions on Water: Protein ratio of chicken"
"1936","2016-09-30","Knowledge and Information Management","Pressure Group","All provided","n/a","2016-10-28","20","I am writing under the Freedom of Information Act 2000 to request information about breaches of the Data Protection Act 1998 in your organisation, specifically I am requesting the following information:1. Does your organisation pro-actively report breaches of Data Protection Act 1998 to the Information Commissioner's Office? 1. If the answer is yes, please provide the number of breaches that have been reported. 2. Does your organisation have an internal procedure for responding to breaches of the Data Protection Act 1998? 1. If the answer is yes please provide the number of breaches that have occurred. 3. I further request that your responses to Questions 1 and 2 are broken down as follows: 1. The number of employees that have been disciplined internally for breaches of the Data Protection Act 1998. 2. The number of employees that have resigned during disciplinary procedures for breaches of the Data Protection Act 1998.3. The number of instances where a breach has not led to any disciplinary action. 4. The number of employees that have had their employment terminated for breaches of the Data Protection Act 1998. 5. The number of employees that have been convicted for breaches of Data Protection Act 1998. In each case, I request that you provide a list of the offences committed by the individual(s) in question, for example 'Accessed personal information for personal interest' or 'Inappropriately shared information with a third party'.I request that the time period covered is 1st June 2011-1st June 2016. I further request that the information be displayed in the following format; I have provided the following examples for clarification:Outline of what was lost/reported missing/accessed Data contained Action taken criminal/ discipline Reported to ICO? Additional responses to rectify lossExample: Confidential data. Confidential data relating to a family member. First written warning. Yes Additional training given.Example: USB stolen. Personal sensitive data. Verbal warning No Theft reported to Police."
"1937","2016-10-03","Private Office","Member of the Public","Not held","n/a","2016-10-12","7","Since April 2010 the Employment Tribunal has had the option to copy ET1 claim forms under the Public Interest Disclosure Act to the relevant regulators (?prescribed persons?). Please advise since April 2010: 1) How many ET1 claim forms (or excerpts and information related to the claims) for whistleblowing detriment under the Public Interest Disclosure Act has the FSA received from the Employment Tribunal? 2) Please advise if the FSA holds data on the action that it took in response to these notifications by the Employment Tribunal. 3) Please give a breakdown of the number of ET1 claim forms (or excerpts and information related to the claims) received by each financial year. 4) Please give a list of the bodies to which these PIDA claims relate, and the number and (if practicable) the nature of ET1s received about each organisation, broken down by financial year. 5) Has the FSA undertaken any analysis of the ET1 intelligence that it has received from Employment Tribunals since April 2010? If so, please disclose all reports and or correspondence that give the details and results of the analysis/ analyses."
"1938","2016-10-06","IT","Business","All provided","n/a","2016-11-01","18","1) Please provide details of expenditure on software for the years 2014/15 and 2015/16 broken down by software supplier. 2) Please provide details of software contracts due to expire before 31st December 2017, broken down by supplier and date.  3) Please provide details of expenditure on perpetual software licences for the years 2014/15 and 2015/16 broken down by software supplier. "
"1939","2016-10-06","Operations","Business","All withheld","s22 & s38","2016-10-12","4","I want to know how many animals and poultry are slaughtered in the UK without stun . I would also like to know who monitors the amount of meat needed to fulfil the need of people who 'require' this . I am a farmer and have huge concerns about the welfare of my animals when they leave us via the market."
"1940","2016-10-10","Food Policy","Member of the Public","Part withheld","s40, s42","2016-12-23","54","Considering the continued need for austerity constraints on all Government expenditure, I write to request a copy of all documents concerning the below expenditure: the original business case, original approval, documents seeking retrospective approval and the retrospective approval itself, and all documents (ie internal audit, notifications to management) resulting in the below publication of the data given, for the following item of FSA expenditure as published in the FSA transparency date:FSA HMG1989Retrospective spend approval for www.meatuk.org A website came to the attention of the FSA late last year that has not had GDS spend or exemption approval. It does not meet government-wide standards, including failing on usability, build, responsiveness, evaluation.?83,165Feb-16"
"1941","2016-10-12","Prosecutions","Business","All provided","n/a","2016-11-04","17","I would like to know the amount of money your department spent on the services of external law firms and barristers for the year ending March 31st 2016.Please exclude legal services provided by the Government Legal Department. However, please include legal services that the Government Legal Department has outsourced to a third party.You can approximate spending levels, i.e. if you are not able to provide the exact figures, you can give us your best estimate.FOLLOW ON REQUEST Further to this request please note that the figure we have requested should exclude spending by your department on the GLD (Government Legal Department) and its predecessor the TSoL (Treasury Solicitor's Department)."
"1942","2016-10-12","NFCU","Media","All withheld","s35","2016-12-14","40","?Internet connection records' or ?ICRs' are a new power for law enforcement and government agencies. Under the Investigatory Powers Bill, the Food Standards Agency will be able to request ICRs from internet service providers.I hereby request the following records:All internal and external correspondence and communications held by the Food Standards Agency that contain the following terms, from January 1st2014 to the date of this request:- ?Internet connection records?- ?internet connection records?- ?Internet Connection Records?- ?ICRS?- 'ICRs?This request is not being made for commercial purposes.In order to help to determine my status to assess fees, you should know that I am journalist writing for Motherboard, VICE's technology and science site, and that this request is being made as part of news gathering."
"1943","2016-10-17","Approvals ","Member of the Public","All provided","n/a","2016-11-09","17","Under the Freedom of Informatiopn Act could you please confirm exactly what ABP disposal arrangements are in place or the disposal of Boar blood in Pitt Wood."
"1944","2016-10-14","Operations","Member of the Public","Rejected on cost grounds","s12","2016-10-25","8","I understand that 'Norfolk Meat Traders, formerly 'Simply Halal' are operating with your consent in Norfolk Can you please provide the following information under the FOI Act1. Please provide copies of all documents relating to 'Simply Halal' and/or to 'Norfolk Meat Traders'.2. Please provide copies of all document relating to directors both past and present of 'Simply Halal' and/or of 'Norfolk Meat Traders'."
"1945","2016-10-17","Approvals ","Member of the Public","All provided","n/a","2016-10-31","10","I would be grateful if you would please email me a copy of the most recent inspection report on the following premises:Approval No 4133Farmers Fresh LtdThe AbattoirBanner HillRouncil LaneKenilworthCV8 1NN"
"1946","2016-10-18","IT","Member of the Public","Part withheld","s31","2016-11-15","20","I am currently embarking on a research project around Cyber Security and was hoping you could provide me with some contract information relating to following information:1. Standard Firewall (Network) - Firewall service protects your corporate Network from unauthorised access and other Internet security threat2. Intrusion Detection - network intrusion detections systems [http://searchsecurity.techtarget.com/feature/Enterprise-benefits-of-network-intrusion-prevention-systems] (IDS) and network intrusion prevention systems (IPS) [http://searchsecurity.techtarget.com/feature/Three-criteria-for-selecting-the-right-IPS-products]services that detect Web application attacks and include anomaly-awareness in addition to handling older threats that haven't disappeared. 3. Web Applications Firewall - A Web application firewall (WAF) is a firewall that monitors, filters or blocks the HTTP traffic to and from a Web application. 4. Threat Monitoring - organizations and security analysts to identify and protect against security threats.5. Anti-virus Software Application - Anti-virus software is a program or set of programs that are designed to prevent, search for, detect, and remove software viruses, and other malicious software like worms, trojans, adware, and more.6. Encryption Facilities - s a host based software solution designed to encrypt sensitive data before transferring it to tape for archival purposes or business partner exchange.For each of the different types of cyber security services can you please provide me with:1. Who is the existing supplier for this contract?2. What does the organisation spend for each of contract?3. What is the description of the services provided for each contract?4. What is the expiry date of each contract?5. What is the start date of each contract?6. What is the contract duration of contract?7. What is the hardware brand? If available.8. What is the software brand? If available?9. The responsible contract officer? Full name, job title, contact number and direct email address."
"1947","2016-10-17","NFCU","Member of the Public","Not held","n/a","2016-11-07","15","REQUEST RELATING TO EXMOOR CAVIAR - PLEASE SEE FOI FOLDER FOR DETAILS OF REQUEST. EXCEL WILL NOT ACCEPT A CUT AND PASTE OF THE REQUEST WORDING AND THE REWQUEST IS VERY LENGTHY."
"1948","2016-10-21","Legal","Legal","Rejected on cost grounds","s12","2016-11-09","13","all documents and other information in the Food Standards Agency's case concerning Newby Foods' labelling of meat produced by a ?Baader-machine? (the question in the case was whether or not such meat should be labelled as ?mechanically separated meat?)."
"1949","2016-10-19","Consumer Protection","Media","Part withheld","s40, s43","2017-02-13","80","*Copies of all correspondence (including emails) sent directly to or from Geoff Ogle (as the FSA's senior investigating officer on horsemeat) excluding correspondence in which he is CC'd and emails to or from him that are wholly contained within a larger chain email in relation to the investigation into the slaughterhouse run by Peter Biddy in Todmorden, West Yorkshire as a result of the horsemeat scandal. *Copies of all correspondence (including emails) sent directly to or from Geoff Ogle (as the FSA's senior investigating officer on horsemeat) ) excluding correspondence in which he is CC'd and emails to or from him that are wholly contained within a larger chain email in relation to the investigation into Farmbox Meats Ltd in Wales as a result of the horsemeat scandal."
"1950","2016-10-18","Private Office","Industry","Not held","n/a","2016-11-04","13","As instructed per your internet page we would like you to send us the following information:Names of Companies with food standard certification that can provide the following Service:- Sourcing, assembling packages, and exporting food items. In order to make it ?reasonable? we are NOT asking for all of your database. A list of at least 10 active Company names will suffice."
"1951","2016-10-31","Private Office","Member of the Public","Not held","n/a","2016-11-04","3","Does the 1990 Food Safety Act ensure the regulation of vegan and vegetarian food preparation in restaurants, cafes and catering businesses?Has an increase in veganism and vegetarianism led to more regulation to reduce cross contamination in the food industry?Has any changed to the Food Safety Act of 1990 led to more enforcement in restaurants, cafe and catering companies in terms of vegetarian and vegan food preparation?Please will you provide the information via email.If the information I have asked for cannot be provided, can you refer me to where I can obtain this information? I look forward to get your response within 20 working days as the Act states."
"1952","2016-11-01","HR","Another Public Authority","Withdrawn","n/a","","","Please can you provide: 1. Staff numbers and average pay data. Ideally I would like this data as of the 1st of April 2016 and the 1st of October 2016. Please can you to fill in the attached spreadsheet.2. An Organogram/Org Chart of the top 4 senior levels of staff , for example:? The most senior person in the organisation? His/her direct reports? Their direct reports? Their direct reports3. The name, job title and contact details of the following:? A senior member of HR who would be happy to correspond with us regarding our benchmarking staffing structures, pay scales and other HR metrics.? A senior member of your finance team who would be happy to correspondence with us regarding our benchmarking of departmental costs and expenditure. For the org chart I need position title, paygrade (if applicable) and area/directorate/division/team they work in. Any other information is appreciated but not necessary.Please provide the data in full. If you are unable to provide the data in full then:? Please provide as much as you can.? Prioritise the information as of 1st of October if possible. ? If you do not have a payband/paygrade structure please provide the overall staffing numbers for the organisation and how many staff are in each area.? If you cannot provide minimum and maximum salary information please include the average cost. ? If you cannot provide an org chart of the top 4 levels of staff, please provide the top 3. Additionally if you have a significant portion of staff who do not fit into the sections of the attached spreadsheet please add an extra column but make it clear what sector/type of work they carry out. "
"1953","2016-11-02","Legal","Business","Rejected on cost grounds","s12","2016-11-30","20","I would like to request copies of the following documents:1) Any minutes, correspondence or memorandums you hold relating to meetings with UK ministers on the implications of Brexit for the work of the FSA.2) I would like a copy of any briefings, reports or documents you have submitted DEFRA, DEXEU, No 10 or other UK government departments relating to the implications of Brexit on the work of the FSA and UK food safety standards.3) I would like a copy of any briefings, reports or documents you have submitted to the EU institutions, committees of the UK Parliament, or non-UK governments relating to the implications of Brexit on the work of the FSA and UK food safety standards. "
"1954","2016-11-02","Consumer Protection","Member of the Public","All withheld","s31 (3)","2016-12-21","35","Please provide all documents (emails, letters, memos, research papers, telephone notes, decisions, findings etc.) in relation to the investigation carried out by the National Crime Unit into Ornua Co-operative Limited. Please include the third party audit and any other documents provided by or correspondence with Teagasc."
"1955","2016-11-03","Consumer Protection","Media","All provided","n/a","2016-11-17","10","Under the Freedom of Information Act can you can you tell me how many investigations the National Food Crime Unit (NFCU) has conducted since it was created between September, 01 2014 to August 31, 2015 and September, 01 2015 to August 31, 2016?How many arrests have been made in each of these time periods?How many people have been prosecuted in each of these time periods?What were the outcomes?In the investigations it has been conducting, how many involve:a) wineb) spiritsc) horsemeatd) illegal meat - please specify which meatsHow many organised crime groups has the NFCU identified which are linked to food related criminality?How many in the UK?How many in Europe?Since the Food Crime Confidential was created in June 2016, how many reports/complaints has it received so far?How many of these have been investigated further?Have any resulted in arrests?Have any resulted in prosecutions?"
"1956","2016-11-07","Food Policy","Business","All provided","n/a","2016-11-09","2","Please can I submit a Freedom of Information request to identity the requestor and details of FOI 1940."
"1957","2016-11-07","Operations","Academia","All provided","n/a","2016-11-16","7","1. How many slaughter houses have been shut down in the UK from 2000-present day? 2. What are the reasons for the slaughter houses being shut down?"
"1958","2016-11-08","Operations","Member of the Public","Part withheld","s21, s30, s40","2017-01-06","40","Using FOI Act 2000 I would request the following information please relating to FSA auditing of meat plants (slaughterhouses/cutting plants): NOTE: By 'Full audit report' below I mean the documents filled out and submitted to FSA by audit staff as found here: https://www.food.gov.uk/sites/default/files/fbo-audit-form.pdf not just the audit summaries (scores) published by FSA. 1, Copy of the full Audit Report for Eye Poultry, (5008 plant number) carried out on 26th September 2016 2, Copy of the follow up Audit Report for Eye Poultry, carried out on (or near) to 1st November 20163, Copy of the full Audit Report for Hashams Halal Poultry (4539 plant number) carried out on 17th February 2016 4, Copies of any follow up Audit Reports for any full or partial audits carried out at Hashams Halal Poultry between 17th February 2016 and the present day4, Copy of the full Audit Report for Bakers of Nailsea (8149 plant number) carried out on 8th October 2015 5, Copies of any follow up Audit Reports for any full or partial audits carried out at Bakers of Nailsea between 8th October 2015 and the present day5, Copy of the full audit report for Janan Meat (4182 plant number) carried out on 19th January 2016 6, Copies of any follow up Audit Reports for any full or partial audits carried out at Janan Meat between 19th January 2016 and the present day7, Copy of the full audit report for SJ Norman & Sons (8217 plant number) carried out on 22nd February 2016 8, Copies of any follow up Audit Reports for any full or partial audits carried out at SJ Norman & Sons between 22nd February 2016 and the present day9, Copy of the full audit report for Stillmans (Somerset) (8231 plant number) carried out on 17th February 2016 10, Copies of any follow up Audit Reports for any full or partial audits carried out at Stillmans (Somerset) between 17th February 2016 and the present day11, Copy of the full audit report for Peter Coates (Alrewas) Ltd (4242 plant number) carried out 27th April 2016 12, Copies of any follow up Audit Reports for any full or partial audits carried out at Peter Coates (Alrewas) Ltd between 27th April 2016 and the present day"
"1959","2016-11-08","UKFSS","Media","Rejected on cost grounds","s12","2016-11-30","16","1. For the calendar year 2016 so far, how many DNA speciation tests carried out by local authorities on meat and fish products produced unsatisfactory results. 2. For the calendar year 2015, how many DNA speciation tests carried out by local authorities on meat and fish products produced unsatisfactory results. 3. Please provide details of the unsatisfactory 2016 speciation tests, including where available:a) the product testedb) the brand name of the product c) the manufacturer of the product d) the distributor of the producte) the seller of the productf) the name of the catering supplier or restaurant the product was obtained fromg) the species the product was labelled as beingh) the species found by the testingi) the quantities of the species that were found by the testing (ie. percentage of each species found)Please provide all results kept on your databases, and all sample results.4. Please provide copies of any reports completed by your organisation (or on behalf of your organisation) in the calendar year 2016 so far, about unsatisfactory meat and fish test results found by local authorities as a result of DNA speciation testing."
"1960","2016-11-11","FSA comms","Business","All provided","n/a","2016-12-06","17","1 .Do you use a media monitoring service?2. What media do you monitor: Press/ Broadcast/Online/social Media?3. Who is you current supplier?4 .When are you due to tender next for this service?5. What is your monthly/ annual budget for media monitoring?6. Who is the correct person to speak with in regards to this?"
"1961","2016-11-14","Meat Hygiene Policy / Legal ","Legal","All withheld","s31","2017-01-12","40","1. Professor Groves's report of 5 August 2015, referred to in paragraph 71 of Edward-Stuart J's judgment in R (on the application of Newby Foods Limited) v Food Standards Agency ([2016] EWHC 408 (Admin).2. The Food Standard Agency's (?the FSA') interpretation of paragraph 1.14 of Annex I to Regulation (EC) No 853/2004 (?the Annex'). In particular, the FSA's interpretation of the phrases - ?resulting in the loss or modification of the muscle fibre structure', and ?flesh-bearing bones after boning or from poultry carcases'.3. Any documents which contain the FSA's interpretation of paragraph 1.14 of the Annex or the FSA.4. Any document which directly informed the FSA's interpretation of paragraph 1.14 of the Annex.5. Any advice the FSA has received about the interpretation of paragraph 1.14 of the Annex.6. Any documents relating to the FSA's interpretation of paragraph 1.14 of the Annex.7. Any policy documents or regulatory documents the FSA drafted in light of the judgment in R (on the application of Newby Foods Limited) v Food Standards Agency.8. Information about any changes the FSA has made to the way it carries out its functions in light of in R (on the application of Newby Foods Limited) v Food Standards Agency.9. Any correspondence the FSA has had with the European Commission relating to the judgment in R (on the application of Newby Foods Limited) v Food Standards Agency.10. Any correspondence the FSA has had with the European Commission since the judgment in R (on the application of Newby Foods Limited) v Food Standards Agency. In particular, any correspondence regarding the interpretation of the term contained in paragraph 1.14 of the Annex -?mechanically separated meat or MSM'."
"1962","2016-11-14","Hygiene Ratings","Media","All provided","n/a","2016-12-12","20","We are working on a story about food hygiene in schools and have previously submitted this request to the Department of Education, reference number is 2016-0051116. The DoE say they do not hold or collect this information and have referred us to you at the Food Standards Agency. As such, would like to submit the following FOI request:1. Between January 1st 2016 and the present date how many schools in Great Britain have received a five star food hygiene rating?2. Between January 1st 2016 and the present date, how many schools in Great Britain have received a score of 2 or below on the food hygiene rating scheme?3. Of these, what were the reasons for the failing scores?4. Which areas of the country have the lowest performing schools when it comes to food safety?5. Between January 1st 2016 and the present date have any school kitchens been closed down due to poor food hygiene ratings? If so, please can you identify them and give us the date of closure, steps taken to improve scores and date of reopening (if applicable)6. What steps do you take should a school fail a food hygiene inspection?"
"1963","2016-11-25","Consumer Protection","Media","Not held","n/a","2016-11-29","1","Guidelines for the use of internet connection records."
"1964","2016-11-28","Finance ","Member of the Public","All provided","n/a","2016-12-02","4","1. The annual salary of the highest-paid individual presently working in your department (in pounds sterling) as of November 28th 2016;2. The job title of the highest-paid individual presently working in your department as of November 28th 2016; and3. The average annual salary of all individuals presently working in your department (in pounds sterling) as of November 28th 2016."
"1965","2016-11-29","UKFSS","Media","Part withheld","s43(2)","2016-12-29","20","ln 2016 how many DNA tests were conducted on food products for ?sh species identification? How many of these came back with unsatisfactory results? Please give details of these unsatisfactory results including product/brand/manufacturer of the product, the species it was supposed to be and the quantity and species of the detected fish or other foodstuff."
"1966","2016-11-28","Complaints Enquiries & Reporting","Member of the Public","Not held","","2016-12-05","5","27/11/2016As a member of the Green Party I received alarming feedback with regard to Organic Food from Scotland. What I required to know was the length of time that organically fertilized soil should be laid by in order to be considered safe. I am worried about is the long term prevelance of Ecoli 0157, cryptosporidium cysts etc. Also ground that has been fertilized with a mixture of sewage sludge, and mushroom compost near me is being proposed for public housing- is there any problem here. 28/11/2016Obviously not -I wish to know how long organically fertilized soil must be left for reasons of public safety. (Reports in the Press of deaths -liver failure appear to mainly relate to Scotland)Other Query : Is it safe to move around soil which obviously contains cryptosporidium , I'm worried about the building of public housing on a site experimentally covered with a mixture of mushroom compost, and sewage sludge from local prison -on record ! Deloits ; Colin Glen Trust. "
"1967","2016-12-02","Consumer Protection ","Member of the Public","All provided","n/a","2017-01-04","20","1. I would like to know the names, job titles and locations of all members of staff who are designated as ' Grade 6 ? and any staff senior to them in the Food Standards Agency ( note these are as referenced in Schedule 4 of the Investigatory Powers Act )http://www.legislation.gov.uk/ukpga/2016/25/pdfs/ukpga_20160025_en.pdf2. I would like to know the number of people who are :a) Grade 6 b) Senior to the above 3. I would like to know what training has been given to members of staff responsible for application of the Investigatory Powers Act or what training is planned 4. I would like to know what guidelines have been issued to members of staff about the Investigatory Powers Act "
"1968","2016-12-05","UKFSS/ Consumer Protection","Industry","All provided","n/a","2016-12-13","4","Please provide information on listeria and salmon during 2014, 2015 and 2016.Please include testing, reports, data on prevalence, scientific papers, monitoring programmes, correspondence with retailers and industry representatives, Rapid Food Alerts to DG SANCO, food alerts, warning letters, prosecutions, health briefings, internal briefings, emails and any other information relating to listeria and salmon since 1 January 2014. Please consider this a request for information under the relevant Freedom of Information and Environmental Information Regulations. For the FSA Scotland, please consider this a request for information under the relevant Freedom of Information and Environmental Information Regulations including both the Freedom of Information (Scotland) Act 2002 and the Environmental Information (Scotland) Regulations 2004 (as well as any other new or other regulations which may be appropriate).  *************CLARIFIED REQUEST***************In terms of narrowing down the FOI request, please consider in the first instance the testing data (around 250 samples). If there are any food alerts for listeria in ANY salmon products (smoked, fresh etc) please also include."
"1969","2016-12-05","Openness Team ","Industry","Not held","n/a","2016-12-06","1","Please provide any information since 1 January 2016 on the Thermolicer - in particular any information regarding operational failures, mass mortalities, licences, experiments and safety and welfare assessments. Please include any letters and/or correspondence with the Scottish Government, SSPO, Marine Harvest, Scottish Sea Farms and any other companies; complaints from the public; safety and welfare evaluations; photos and any other information pertaining to the Thermolicer during 2016. "
"1970","2016-12-06","Procurement ","Business","Part withheld","s40, s43","2017-01-06","20","I write to request copies of Skills and Evidence Templates that were successfully shortlisted for contract FSA516: Discovery and Alpha development of the food.gov.uk website (run under the Digital Outcomes and Specialists framework). The submission date was 25 November 2016 and Paul Lynch, Procurement Category Manager (Interim) was leading the procurement."
"1971","2016-12-06","Complaints, Enquiries and Reporting","Business","All provided","n/a","2017-01-06","20","We would be grateful if you could provide the following most current versions of the publications if you publish them which are listed below1. Efficiency Technical Notes Plan (ETN)2. Contract register in open data format3. Department Investment Strategy4. Public Service Agreement5. Procurement Innovation Plan6. Estates/FM/Property Management plan7. Asset Data "
"1972","2016-12-08","Consumer Protection","Member of the Public","All withheld","s35","2016-12-23","11","Your department is listed in schedule 4 'RELEVANT PUBLIC AUTHORITIES AND DESIGNATED SENIOR OFFICERS ETC' of the Investigatory Powers Act 2016 (linked to here http://freepdfhosting.com/64c5f91342.pdf - please provide a file format you can read if you cannot read this).Please kindly provide information held on file (if any) which explains why your department needs access to the data gathered in the Investigatory Powers Act 2016"
"1973","2016-12-12","HR","What do they know","Not held","n/a","2016-12-22","8","I would like to know if the Agency currently uses an online skills assessment tool when recruiting candidates for IT roles?For example, to test the ability of a developer / programmer, would the hr department or hiring manager put candidates through an automated online skills assessment - to test their technical abilities?If so, please confirm which tool is used, when the contract is up for renewal and any fees involved"
